Raw,Type,Type,Type,Type
"Besides the Black and Queer literature that I work with for my dissertation (Lorde’s Zami, Paule Marshall’s Triangular Road, Shani Mootoo’s Cereus Blooms at Night, Rwandan novelist Scholastique Mukasonga’s work, and Nigerian playwright Tess Onwueme’s work), the largest research materials I have worked with in the past is the Tess Onwueme Papers at University of Wisconsin Madison, Eau Claire. These archival materials inform a lot of my research around the relationship between love and social justice (my dissertation topic), and I think they need to be made public in some way. I’m also interested in generally digitizing my thinking and research as Queer and Race-based activism, in a similar way to Monica Roberts, also known as the Trans Griot, whose blog was a centerpiece of Black trans activism in the 2000s. Finally, I’m interested in working with the NYPL Schomburg Center for a digitization fellowship that I will be applying for. Having better digital literacy would greatly help me in this project, and it would allow me to better engage with this Black archive, which would be incredibly useful for my dissertation work that features some New York Black leaders such as James Baldwin and Audre Lorde.",Archive,Open City Data,Books,Images
"For my QMSS coursework, I worked with data from the American Community Survey and/or Census, accessed from https://data.census.gov/ and IPUMS (https://usa.ipums.org/usa/). We also occasionally worked with data from NYC Open Data: https://opendata.cityofnewyork.us/. Additionally, I’m currently working with CUNY’s Institutional Research team on some analysis for their career programs. I’m currently accessing their aggregate data from their public tableau reports at https://public.tableau.com/app/profile/oira.cuny/vizzes. My work and research so far has largely focused on learning and career trajectory trends, and I hope to continue using sources like Census data, while also learning how to better access and analyze data from sources like NYSDOL: https://dol.ny.gov/labor-data.",Census,Open City Data,,
I'm interested in US gov reports and data on the importation of coca leaves from Peru to the US (only one US company is allowed to import them). I published a story about it in 2018.,Census,Open City Data,,
"PHI (latin.packhum.org/index)
jstor.org
Linguax (linguax.com/lexica/)
TLG (stephanus.tlg.uci.edu/)
Stellarium
USDA Foreign Agricultural Service (ipad.fas.usda.gov/rssiws/al/crop_calendar/europe.aspx)
",Open City Data,,,
"The British School at Athens provides access to ancient epigraphical and forensic resources, https://www.bsa.ac.uk/about-us/library/, which I would like to cite in my dissertation, and the American Numismatic Society's online collection of images and research, https://numismatics.org/search/department/Greek, would be helpful as a resource to document the political changes in 4th-century CE Athens.",Text,,,
"I have previously worked with Census decennial data, Census ACS tables (1,3, and 5 year estimates) (https://data.census.gov/table/ACSDP5Y2021.DP04?g=050XX00US36005_040XX00US36), CDC Wonder data, NHANES data, Bureau of Labor Statistics Data, Datasets from NYC Open data such as data on food store locations (https://data.ny.gov/Economic-Development/Retail-Food-Stores/9a8c-vfzj) for a spatial analysis on food access in NYC. I would like to work more with census data and geospatial data.",Open City Data,,,
"I often work with photographs/images, so a variety of image archives are relevant and useful to my own research. I'd also like to explore working with machine learning and facial recognition archives in order to understand what kinds of images and patterns these systems are developed from, including many of the data sets on Exposing.ai: https://exposing.ai/datasets/",Experimental data,,,
"I have worked with Adobe Photoshop at the Early Modern Center digitizing texts (translating texts) from 16th and 17th-century English Broadside Ballads and manipulating woodcut images: https://ebba.english.ucsb.edu. I am interested in continuing to work with digitized texts and images, museum collections (if applicable to my work), and archival records.",Archive,,,
"I previously had experience in using datasets conducted by some universities in China for my term projects, via R. I would more interested in exploring text analysis by using computational methods in the future, to examine online text, video, interactions, generated on social media (like Weibo, WeChat, Tiktok, etc) by workers in China.",US Gov Reports,,,
"I have previously worked with museum collections, mostly with collection metadata (my day job until coming to the GC this year was arranging exhibitions and loans, which has a lot of metadata associated with it). I am interested in working with books, archival records, and artworks, both in making collections more widely accessible to the public and their use in a pedagogical setting.",US Gov Reports,,,
"I'm currently facing the challenge of organizing and analyzing vast amounts of scattered and disorganized archival data. This experience has fueled my interest in developing effective strategies for data management and analysis, particularly in the context of large-scale datasets. 

My previous research projects have involved organizing and analyzing census data from various sources to examine trends in population growth, migration patterns, and socioeconomic disparities. This work has highlighted the importance of data management methodologies that can effectively handle the complexities of large-scale demographic datasets.

My ongoing research interests lie in exploring novel data management and analysis techniques that can effectively address the challenges of organizing and analyzing large-scale demographic datasets.",Images,,,
"Working in the Children's Education departments at the American Museum of Natural History and the New York Botanical Gardens allowed me to witness behind the scenes of how informal surroundings may encourage new generations to participate in STEM. Working with scientists and educators in various fields, I realized that scientific and cultural museums, such as the world's largest museum and education institution, The Smithsonian Institution, have museum collections such as their book collections (https://library.si.edu/digital-library/collection/cultivating-americas-gardens). I would be interested in working with a potential research project of digital storytelling in classrooms inspired by books and items from the Smithsonian collection that can allow students to connect through the lens of identity, ancestral foodways, and the power of familial stories combined with artistic mediums. Being a GC Digital Fellow, I would learn new onset skills of learning programming language such as Python or R track and how to look at research materials such as museum databases or collection other than my knowledge of the Statistical Package for Social Sciences (SPSS). 
",Text,,,
"Recently I completed a project where I analyzed H-1B visa datasets from the United States Citizenship and Immigration Services H-1B Employer Data Hub (https://www.uscis.gov/tools/reports-and-studies/h-1b-employer-data-hub/h-1b-employer-data-hub-files). I cleaned the data sets and then investigated how H-1B visa approvals have changed over time, where were the top industries for visa approvals, and where were the top employers by states, city, and company using basic Excel, SQL, and Tableau skills (link to presentation: https://www.youtube.com/watch?v=GuJ9JAg25ls&list=LL&index=37). I am still working on improving this project by continually growing my technical skills. 
For my capstone project, I want my project to be based on quantitative analysis and immigration. I anticipate needing to use census data, open city data, and data from non-profits/NGO’s. A possible topic I want to pursue is to investigate where recent migrants that were transported to New York City have settled in, and what the reception local communities has been. I’d also like to investigate Mayor Adam’s claim on the economic cost of migrants to the city by looking at past city data over time when similar waves of immigrants have come.",Museum Collections,,,
